"","age","no_education","Primary","Middle","Secondary","Number","Gender"
"1","10-14","14.2","67.1","18.2","0.2","1,447","Female"
"2","15-19","14.8","18.8","57.1","9.2","927","Female"
"3","20-24","25.0","17.2","42.0","15.8","903","Female"
"4","25-29","30.7","18.1","41.0","9.8","883","Female"
"5","30-34","34.4","17.4","38.1","9.8","659","Female"
"6","35-39","32.5","18.3","39.9","8.9","614","Female"
"7","40-44","38.9","16.2","36.8","7.6","473","Female"
"8","45-49","48.8","14.8","25.0","11.0","406","Female"
"9","50-54","64.8","12.9","18.0","4.1","378","Female"
"10","55-59","76.2","10.2","8.5","4.1","258","Female"
"11","60-64","77.6","8.2","10.3","2.3","250","Female"
"12","65+","89.0","3.8","6.1","0.9","540","Female"
"13","10-14","13.2","68.3","18.4","0.0","1,472","Male"
"14","15-19","9.1","20.5","59.2","11.0","1,043","Male"
"15","20-24","13.1","11.2","46.3","29.4","744","Male"
"16","25-29","13.3","12.8","48.2","25.4","684","Male"
"17","30-34","16.7","11.9","51.8","19.1","572","Male"
"18","35-39","18.7","10.9","50.3","19.5","445","Male"
"19","40-44","19.7","9.4","49.1","21.7","419","Male"
"20","45-49","28.7","11.6","38.8","20.1","365","Male"
"21","50-54","24.8","10.4","38.2","25.7","271","Male"
"22","55-59","38.8","9.4","36.6","15.0","222","Male"
"23","60-64","45.3","10.0","28.8","14.7","190","Male"
"24","65+","65.8","9.8","18.1","5.0","450","Male"
